date	close
09-Oct-07	43.84
02-Oct-07	44.22
25-Sep-07	44.19
18-Sep-07	46.02
11-Sep-07	46.68
04-Sep-07	46.16
28-Aug-07	45.95
21-Aug-07	53.05
14-Aug-07	53.15
07-Aug-07	55.71
31-Jul-07	56.54
24-Jul-07	55.51
17-Jul-07	45.88
10-Jul-07	42.13
03-Jul-07	34.21
26-Jun-07	27.46
19-Jun-07	28.51
12-Jun-07	28.84
05-Jun-07	36.44
29-May-07	39.08
22-May-07	40.78
15-May-07	40.78
08-May-07	40.78
01-May-07	47.75
24-Apr-07	49.11
17-Apr-07	50.64
10-Apr-07	52.53
03-Apr-07	52.86
27-Mar-07	63.87
20-Mar-07	64.35
13-Mar-07	60.49
06-Mar-07	60.49
27-Feb-07	62.72
20-Feb-07	68.51
13-Feb-07	68.51
06-Feb-07	68.92
30-Jan-07	68.89
23-Jan-07	68.92
16-Jan-07	70.45
09-Jan-07	73.47
02-Jan-07	73.09
26-Dec-06	84.02
19-Dec-06	89.82
12-Dec-06	89.84
05-Dec-06	90.38
28-Nov-06	87.77
21-Nov-06	87.37
14-Nov-06	87.38
07-Nov-06	82.3
31-Oct-06	79.4
24-Oct-06	84.39
17-Oct-06	84.39
10-Oct-06	84.39
03-Oct-06	89.78
26-Sep-06	90.39
19-Sep-06	93.61
12-Sep-06	93.89
05-Sep-06	95
29-Aug-06	97.24
22-Aug-06	98.61
15-Aug-06	99.96
08-Aug-06	99.93
01-Aug-06	99.18
25-Jul-06	99.18
18-Jul-06	98.04
11-Jul-06	97.17
04-Jul-06	93.17
27-Jun-06	90.68
20-Jun-06	87.9
13-Jun-06	87.9
06-Jun-06	77.73
30-May-06	78.39
23-May-06	70.26
16-May-06	65.87
09-May-06	65.09
02-May-06	66.86
25-Apr-06	66.63
18-Apr-06	68.96
11-Apr-06	68.35
04-Apr-06	68.05
28-Mar-06	75.84
21-Mar-06	78.13
14-Mar-06	66.73
07-Mar-06	68.67
28-Feb-06	68.8
21-Feb-06	67.31
14-Feb-06	67.83
07-Feb-06	66.86
31-Jan-06	66.49
24-Jan-06	58.45
17-Jan-06	56.19
10-Jan-06	53.79
03-Jan-06	53.15
27-Dec-05	51.49
20-Dec-05	51.49
13-Dec-05	50.71
06-Dec-05	49.84
29-Nov-05	47.05
22-Nov-05	52.9
15-Nov-05	52.9
08-Nov-05	52.31
01-Nov-05	52.31
25-Oct-05	49.18
18-Oct-05	48.79
11-Oct-05	50.22
04-Oct-05	54.8
27-Sep-05	52.68
20-Sep-05	53
13-Sep-05	52.57
06-Sep-05	52.18
30-Aug-05	50.75
23-Aug-05	50.72
16-Aug-05	55.08
09-Aug-05	68.78
02-Aug-05	67.9
26-Jul-05	68.21
19-Jul-05	53.18
12-Jul-05	40.44
05-Jul-05	40.22
28-Jun-05	41.95
21-Jun-05	40.26
14-Jun-05	40.2
07-Jun-05	53.83
31-May-05	60.89
24-May-05	60.15
17-May-05	55.13
10-May-05	68.66
03-May-05	67.44
26-Apr-05	60.8
19-Apr-05	60.68
12-Apr-05	59.29
05-Apr-05	67.27
29-Mar-05	70.71
22-Mar-05	71.12
15-Mar-05	71.12
08-Mar-05	71.12
01-Mar-05	70.32
22-Feb-05	70.32
15-Feb-05	69.84
08-Feb-05	68.6
01-Feb-05	70.57
25-Jan-05	70.57
18-Jan-05	68.11
11-Jan-05	67.85
04-Jan-05	67.97
28-Dec-04	67.97
21-Dec-04	67.42
14-Dec-04	66.15
07-Dec-04	66.15
30-Nov-04	66.15
23-Nov-04	66.2
16-Nov-04	66.2
09-Nov-04	66.87
02-Nov-04	65.87
26-Oct-04	66.8
19-Oct-04	68.35
12-Oct-04	67.68
05-Oct-04	69.52
28-Sep-04	63.47
21-Sep-04	73.82
14-Sep-04	74.25
07-Sep-04	67.35
31-Aug-04	69.71
24-Aug-04	68.17
17-Aug-04	74.56
10-Aug-04	72.67
03-Aug-04	75.65
27-Jul-04	69.91
20-Jul-04	74.67
13-Jul-04	71.89
06-Jul-04	71.89
29-Jun-04	71.42
22-Jun-04	72.67
15-Jun-04	75.52
08-Jun-04	77.82
01-Jun-04	77.71
25-May-04	82.3
18-May-04	83.81
11-May-04	87.2
04-May-04	88.16
27-Apr-04	87.88
20-Apr-04	88.02
13-Apr-04	88
06-Apr-04	88
30-Mar-04	87.89
23-Mar-04	90.67
16-Mar-04	90.67
09-Mar-04	91.35
02-Mar-04	95.26
24-Feb-04	95.28
17-Feb-04	95.28
10-Feb-04	95.13
03-Feb-04	95.4
27-Jan-04	95.4
20-Jan-04	95.3
13-Jan-04	95.2
06-Jan-04	95.74
30-Dec-03	95.77
23-Dec-03	96.14
16-Dec-03	95.22
09-Dec-03	96.11
02-Dec-03	96.18
25-Nov-03	96.44
18-Nov-03	96.51
11-Nov-03	96.5
04-Nov-03	96.37
28-Oct-03	96.42
21-Oct-03	96.54
14-Oct-03	96.55
07-Oct-03	96.8
30-Sep-03	98.05
23-Sep-03	97.95
16-Sep-03	97.75
09-Sep-03	100
02-Sep-03	100
26-Aug-03	100
19-Aug-03	100
12-Aug-03	86.59
05-Aug-03	87.7
29-Jul-03	82.79
22-Jul-03	81.59
15-Jul-03	78.24
08-Jul-03	61.78
01-Jul-03	55.52
24-Jun-03	61.96
17-Jun-03	71.92
10-Jun-03	74.07
03-Jun-03	77.16
27-May-03	78.45
20-May-03	77.37
13-May-03	81.48
06-May-03	88.59
29-Apr-03	91.65
22-Apr-03	91.81
15-Apr-03	93.43
08-Apr-03	92.7
01-Apr-03	93.38
25-Mar-03	94.73
18-Mar-03	98.35
11-Mar-03	98.31
04-Mar-03	94.07
25-Feb-03	94.08
18-Feb-03	96.32
11-Feb-03	96.39
04-Feb-03	96.2
28-Jan-03	96.38
21-Jan-03	95.84
14-Jan-03	93.24
07-Jan-03	93.09
31-Dec-02	88.59
24-Dec-02	87.9
17-Dec-02	88.11
10-Dec-02	87.05
03-Dec-02	82.12
26-Nov-02	81.97
19-Nov-02	82.53
12-Nov-02	82.39
05-Nov-02	82.39
29-Oct-02	82.82
22-Oct-02	84.81
15-Oct-02	84.56
08-Oct-02	84.27
01-Oct-02	83.59
24-Sep-02	78.6
17-Sep-02	79.18
10-Sep-02	80.09
03-Sep-02	80.27
27-Aug-02	78.97
20-Aug-02	79.78
13-Aug-02	79.98
06-Aug-02	87.19
30-Jul-02	87.76
23-Jul-02	86.7
16-Jul-02	83.64
09-Jul-02	84.25
02-Jul-02	84.9
25-Jun-02	80.53
18-Jun-02	81.8
11-Jun-02	79.09
04-Jun-02	81.34
28-May-02	83.37
21-May-02	79
14-May-02	84.78
07-May-02	94.91
30-Apr-02	94.19
23-Apr-02	96.04
16-Apr-02	99.69
09-Apr-02	98.82
02-Apr-02	99.05
26-Mar-02	93.63
19-Mar-02	90.04
12-Mar-02	89.89
05-Mar-02	86.96
26-Feb-02	87.65
19-Feb-02	81.11
12-Feb-02	81.22
05-Feb-02	79.49
29-Jan-02	77.02
22-Jan-02	76.73
15-Jan-02	76.33
08-Jan-02	72.92
01-Jan-02	63.6
25-Dec-01	61.7
18-Dec-01	61.58
11-Dec-01	61.74
04-Dec-01	61.49
27-Nov-01	57.31
20-Nov-01	67.67
13-Nov-01	67.69
06-Nov-01	56.46
30-Oct-01	53.32
23-Oct-01	49.18
16-Oct-01	41.41
09-Oct-01	41.79
02-Oct-01	37.79
25-Sep-01	34.26
18-Sep-01	38.9
11-Sep-01	53.71
04-Sep-01	42.45
28-Aug-01	30.96
21-Aug-01	27.67
14-Aug-01	30.17
07-Aug-01	32.39
31-Jul-01	28.28
24-Jul-01	34.43
17-Jul-01	31.25
10-Jul-01	34.25
03-Jul-01	36.7
26-Jun-01	28.29
19-Jun-01	22.55
12-Jun-01	20
05-Jun-01	14.28
29-May-01	14.26
22-May-01	14.26
15-May-01	14.32
08-May-01	13.74
01-May-01	14.48
24-Apr-01	16.67
17-Apr-01	19.48
10-Apr-01	23.54
03-Apr-01	26.18
27-Mar-01	26.28
20-Mar-01	26.28
13-Mar-01	26.52
06-Mar-01	23.42
27-Feb-01	23.99
20-Feb-01	27.39
13-Feb-01	27.24
06-Feb-01	31.46
30-Jan-01	33.81
23-Jan-01	42.57
16-Jan-01	26.93
09-Jan-01	26.93
02-Jan-01	32.69
26-Dec-00	32.69
19-Dec-00	37.19
12-Dec-00	40.79
05-Dec-00	42.89
28-Nov-00	46.66
21-Nov-00	46.48
14-Nov-00	47.14
07-Nov-00	55.03
31-Oct-00	81.12
24-Oct-00	86.96
17-Oct-00	76.63
10-Oct-00	71.46
03-Oct-00	73.63
26-Sep-00	74.78
19-Sep-00	73.29
12-Sep-00	70.07
05-Sep-00	67.79
29-Aug-00	55.71
22-Aug-00	46.79
15-Aug-00	53.93
08-Aug-00	53.05
01-Aug-00	57.18
25-Jul-00	57.9
18-Jul-00	61.78
11-Jul-00	62.33
04-Jul-00	61.47
27-Jun-00	55.42
20-Jun-00	51.7
13-Jun-00	47.28
06-Jun-00	29.84
30-May-00	21.66
23-May-00	26.35
16-May-00	28.1
09-May-00	29.27
02-May-00	30.83
25-Apr-00	30.67
18-Apr-00	43.46
11-Apr-00	32.56
04-Apr-00	31.06
28-Mar-00	30.62
21-Mar-00	35.22
14-Mar-00	35.88
07-Mar-00	50.31
29-Feb-00	51.9
22-Feb-00	56.96
15-Feb-00	59.34
08-Feb-00	60.88
01-Feb-00	61.81
25-Jan-00	74.5
18-Jan-00	70.45
11-Jan-00	57.15
04-Jan-00	52.77
